Obs,Segment,Stream Type,Bedform,Ph2SedReg,Class,ElevDS,L,DA,W_Ph2,D84,S,VC,VC_rat,ER,WtoD,IR,d50,d84_d16,nBars,nFCs,pArmor,SSP,SSP_bal
76,21_M09B,B3c,Riffle Pool,TR,1,74.06278574,206.6443158,92.56277538,17.46418775,281.3693956,0.9,2.094240838,0.498538744,1.221640468,36.96774292,1,123.0873963,227.7037641,19.35693215,0,0,105.3507997,3.007268273
80,21_M11B,E5,Dune Ripple,CEFD,5,79.24413289,1832.672966,64.31464857,9.966473636,0.765983179,0.2,103.6697248,1.043627587,112.2324142,11.6785717,1.136363626,0.178901995,0.715983179,0,1.091302179,0,18.6125402,1.556997083
81,21_M12A,E5,Dune Ripple,CEFD,5,82.29198415,1179.213654,31.84866057,7.802499238,17.79184072,0.2,99.3359375,19.46984375,97.65625,12.19047737,1,0.70710678,17.69184072,5.936159214,5.088136469,0.03002197,11.95412657,0.680538522
82,21_M12B,C4,Plane Bed,UST,3,84.73026516,192.6241999,30.82438287,11.94757696,59.22800887,0.3,5.102040816,0.517707083,2.423469305,26.13333321,1.652173877,46.61323665,52.8049485,10.38291139,5.191455696,0.010933544,17.56568685,0.214577816
83,21_M13A,C4,Riffle Pool,UST,3,85.33983542,333.7397135,30.75780498,10.51508686,104.664642,1.4,9.855072464,3.429565218,8.405797005,17.42424202,1.559999943,51.27044992,79.10742271,11.98538813,8.989041096,0,81.86161622,1.169074944
84,21_M13B,B3c,Riffle Pool,TR,1,89.91161231,940.2621152,30.65729342,10.6065224,160.663908,1.2,2.873563218,0.038344852,2.241379261,20.83832359,1.098360658,88.21307239,130.6011541,5.317666126,3.190599676,0,70.02255645,26.5736557
86,21_T2.01B,C4,Dune Ripple,CEFD,5,49.37519049,533.0691862,22.89948735,8.137762877,29.13856459,0.2,56.92883895,3.288956867,71.16104889,16.28048897,1,12.46335936,29.07656459,15.00743282,3.751858205,0.02637793,9.710925896,0.200770054
88,19_M05T03.02S01.01A,C4,Riffle Pool,CEFD,5,224.6266382,663.5172204,13.48637345,7.650106675,99.60866923,1.3,4.780876494,1.381142098,9.960159302,16.40522957,1,50.68028303,97.87264213,42.19935691,12.05695912,0.032154341,45.21866455,1.2477559
89,19_M05T03.02S01.01B,C4,Plane Bed,CEFD,5,233.1606218,459.0064005,12.37280741,7.924413289,12.58851531,1.1,3.461538462,0.173076923,6.538461685,15.56886292,1.283783793,3.999999999,11.03018615,4.357237716,0,0.077536521,36.23999258,1.019659952
90,19_M05T03.02S01.01C,C4,Plane Bed,CEFD,5,238.3419689,600.1219141,11.99629239,8.381590978,56.3555728,1.1,20,1.372658673,20,41.66666412,1,14.28641816,56.2935728,8.331640427,1.666328085,0.024433723,35.54125323,4.042533024
93,19_M05T03.02S01.02B,C4,Dune Ripple,CEFD,5,251.4477294,830.2346845,9.957040726,5.790917403,19.30355156,0.7,13.15789474,2.321981425,13.15789509,22.0930233,1,3.126274469,18.72208112,8.431350954,1.204478708,0,20.11224423,0.574427238
