Obs,Segment,Stream Type,Bedform,Ph2SedReg,Class,ElevDS,L,DA,W_Ph2,D84,S,VC,VC_rat,ER,WtoD,IR,d50,d84_d16,nBars,nFCs,pArmor,SSP,SSP_bal
155,118_M27-,C3,Riffle Pool,UST,3,228.5888449,1218.835721,219.2751846,25.87625724,151.9187554,0.500125051,6.749116608,4.75289902,3.533568859,23.91549301,1.791666627,75.89466383,134.2022996,2.461365341,2.461365341,0,100.7957876,0.073289488
156,118_M30-,C3,Riffle Pool,UST,3,269.7348369,2469.06431,214.4499577,25.90673575,151.7893277,0.382668793,8.411764706,1.425722832,6.470588207,21.35678291,1.391304374,80.33195399,118.7820119,3.240093816,0.810023454,0.107984817,76.04993288,1.228667717
157,118_M31-,C4,Riffle Pool,UST,3,279.1831759,1140.201158,204.6447884,23.89515392,121.380014,0.320769846,5.867346939,2.933673469,7.015305996,22.39999962,1.333333373,62.98351694,93.91642822,5.26222935,1.75407645,0.148190323,61.89625707,1.245664347
158,118_M32A,B3c,Riffle Pool,FSTCD,4,282.8405974,1654.678452,204.184797,41.05455654,117.8614769,0.257874378,2.004454343,0.334910913,1.855976343,73.20652008,2.125,72.63979836,82.72474087,5.439123227,3.021735126,0.224991711,49.6893543,0.857568164
159,118_M32B,C4,Riffle Pool,UST,3,287.1075891,800.3657422,200.0074012,24.44376714,82.17868105,0.304645849,5.985037406,0.582856584,5.486284733,33.69747543,1.348837137,48.33029337,64.29215799,4.997715156,2.498857578,0.010647372,57.94216293,1.208057041
160,118_M32C,B3c,Riffle Pool,UST,3,289.5458702,1202.377324,198.3728844,22.70649192,149.7334171,0.253485425,10.26845638,1.106711409,1.879194617,26.99275398,1.684210539,68.65361925,147.3714318,7.485171103,0.831685678,0.076705957,47.96310189,0.604910476
161,118_M33A,C3,Plane Bed,UST,3,292.5937214,1235.294118,180.8957303,20.69491009,187.7710351,0.44411547,9.278350515,1.356958763,11.78203201,19.56772423,1.339999914,133.8726567,108.9761329,3.238095238,0.80952381,0.717211942,79.28958709,2.136256174
162,118_M33B,F3,Plane Bed,UST,3,298.0798537,1156.96434,177.0229468,17.8299299,228.1763323,0.210748156,6.837606838,2.214332676,1.12820518,18.87096786,2,116.7630457,164.2664373,4.321654373,0,0.705038198,37.11614181,1.009536851
163,118_M34-,F3,Riffle Pool,UST,3,300.5181347,658.6406583,150.3554035,25.66290765,174.4947492,0.231374368,3.087885986,1.771674584,1.128266096,26.81528473,2.25,75.13745159,143.555874,9.109671448,3.036557149,0.137679315,36.76551456,1.005075787
164,118_M35-,B4c,Plane Bed,TR,1,302.0420603,522.0969217,146.994022,27.97927461,26.53299832,0.233508468,1.74291939,0.243402482,1.742919326,36.42857361,1,8.436075084,26.34353375,1.915353182,1.915353182,0.337189142,36.57984307,0.818601504
165,118_M36A,C4,Riffle Pool,CEFD,5,303.2612009,1065.528802,146.351546,24.47424566,85.65908713,0.28604119,7.160647572,1.688831974,4.981319904,34.91304398,1,32.42236504,85.50625709,9.385011442,4.692505721,0.136905034,44.68577555,0.702546549
166,118_M41T6.01A,F4,Riffle Pool,FSTCD,4,323.3770192,414.8125571,14.86516056,9.935995123,146.1570458,1.396032329,14.41717791,0.994288132,1.073619723,48.65671158,2.75,63.99999998,132.5209618,24.10727406,2.410727406,0.020271859,51.63007337,0.613651948
167,118_M41T6.01B,C3b,Plane Bed,UST,3,329.1679366,197.8055471,14.49638641,6.09570253,177.9082449,2.311248074,14.5,11.55919523,7.5,19.41747665,1.642857194,75.89466382,161.2849808,10.11093991,0,0.432942989,84.1357605,0.655484961
168,118_M41T6.02A,A1b,Bedrock,TR,1,333.7397135,474.2456568,14.43984424,8.503963956,2936.740348,3.53470437,1.254412587,0.360090202,1.7,12,1,234.4218561,2740.862783,10.54305913,0,0,128.3565079,1.680762064
169,118_M41T6.02B,F4b,Plane Bed,UST,3,350.5028955,1549.222798,13.79873106,7.436757086,143.535386,2.164076333,3.483606557,0.365778689,1.147541046,25.95744705,3.92592597,57.70182435,126.9825554,7.745819398,4.518394649,0.003313988,76.36804196,1.651879422
170,118_M41T6.03-,F4b,Plane Bed,UST,3,384.0292594,245.9615971,5.016205215,5.120390125,142.5924198,2.478314638,9.523809524,2.976190476,1.607142925,15.70093346,2.357142925,60.512381,112.9028081,16.26270136,0,0,46.23100266,0.73852919
171,118_M41T6.04-,B3,Step Pool,TR,1,390.1249619,625.4190795,4.887140652,3.809814081,191.2033505,3.411306143,3.2,2.916571429,1.919999957,14.36781597,1,81.86797103,166.97818,1.598927875,1.598927875,0.013126218,62.59874799,1.158022881
172,118_M41T6.05A,B4a,Step Pool,CST,2,411.4599208,749.1618409,2.516455996,9.722645535,62.28927073,4.475183076,1.097178683,0.817247817,1.50470221,55,1.545454502,27.25271082,54.28927074,2.669650122,6.674125305,0,54.05657264,0.692656404
173,118_M41T6.05B,A1,Bedrock,TR,1,444.9862847,459.0064005,1.804032619,3.405347504,130.6452793,7.96812749,1.342528741,0.348708764,1.7,12,1,50.3942082,121.8712765,0,6.535856574,0,78.04240651,1.055879227
174,118_M15T1.03A,D4,Braided,DEP,6,153.0021335,435.2331606,73.90447742,17.44331554,106.5778341,0.070028011,8.736444793,0.622876157,99,99,1,45.66528346,105.8781839,0,0,0,7.113359876,0.10553946
175,118_M15T1.03B,C4,Riffle Pool,CEFD,5,153.3069186,1237.427614,73.64002276,11.73422737,106.5778341,0.665024631,14.02597403,2.42667974,7.792207718,13.70106792,1.125,45.66528346,105.8781839,18.58694581,4.040640394,0.003150246,67.4000024,0.43015136
176,118_M15T1.04,A1c,Bedrock,TR,1,161.536117,1166.107894,71.99274761,17.24332272,250.2937746,1.568217516,5.779903212,0.156937769,1.7,12,1,100.302,223.5611946,0,0,0,156.6890372,21.992646
177,118_M15T1.05-,E5,Dune Ripple,CEFD,5,179.8232246,1939.95733,61.73822695,12.49619019,3.398739997,0.078554593,36.82926829,0.759603659,7.317073345,11.11111069,1,0.881591255,3.298739997,21.13448547,0,0.030758837,7.124610528,1.208699016
178,118_M15T1.06A,E5,Dune Ripple,CEFD,5,181.3471503,862.2371228,54.01923213,12.57238647,13.98099742,0.070696359,48.48484848,1.338181818,7.272727489,13.22115421,1,0.715913476,13.81259322,12.75751149,1.159773772,0.020371156,5.894445545,0.881289932
179,118_M15T1.06B,E5,Dune Ripple,FSTCD,4,181.9567205,1133.1911,53.52131455,12.61810424,59.64670837,0.080688542,36.23188406,1.015816293,4.830917835,11.25,1.61403513,1.999999993,59.50388463,10.58956428,0.88246369,0.05232383,6.688429459,0.237601108
180,118_M15T1.07-,F4,Riffle Pool,FSTCD,4,182.8710759,835.1112466,47.73824044,18.71380677,92.13833078,0.364963502,35.66775244,4.370845964,1.286644936,38.13664627,2.037036896,49.39737833,91.69697928,20.35656934,4.789781022,0.160625912,28.14982436,0.304115425
181,118_M15T1.08-,F4,Riffle Pool,UST,3,185.9189272,758.3053947,47.38018367,12.92288936,143.4515219,1.205787778,8.160377358,1.159054977,1.367924452,16,2.225806475,63.06760367,108.3660871,7.912379421,1.318729904,0.163161174,92.56296135,0.893505878
182,118_M15T1.09-,F4,Plane Bed,UST,3,195.062481,1116.732703,46.5492293,12.55409936,285.0264954,1.364628792,7.040543821,0.443208004,1.213886857,19.33802605,3.151515007,44.15570439,274.5729345,4.477347162,0,0.275567672,103.5952462,2.092788893
183,118_M15T1.10-,F3,Riffle Pool,UST,3,210.3017373,731.4843036,31.53681526,11.70374886,151.1211097,0.833333313,15.88541667,2.075352823,1.09375,25.94594574,1.799999952,66.01463165,122.7368715,17.77208333,1.367083333,0.085064583,49.50104929,0.397393366
184,118_M15T1.11A,F3b,Plane Bed,UST,3,216.3974398,127.0953977,30.12751897,12.34379762,206.2623318,2.158273381,7.654320988,1.826102293,1.259259224,22.01086998,2.695652246,94.74368317,179.1260733,7.868105516,0,0.408932854,124.5643575,0.612612546
185,118_M15T1.11B,F3b,Step Pool,UST,3,219.1405059,95.09295946,30.09257581,10.17982322,250.2937746,3.525641026,4.191616766,1.794731127,1.10778439,18.152174,3.037036896,100.3019601,223.5611946,10.51602564,0,0.998221154,203.3330174,0.480792231
186,118_M15T1.11C,A1,Bedrock,TR,1,222.4931423,124.6571167,30.07967766,11.74502932,2936.740348,7.334963325,2.335512381,0.816612721,1.7,12,1,234.4218561,2740.862783,0,0,0.075366748,422.9124442,1.899183015
187,118_M40T5.01A,C3b,Plane Bed,UST,3,323.0722341,120.9996952,14.10105511,7.680585187,173.6281668,2.518891688,6.349206349,1.626373626,12.3015871,17.6223793,1.526315808,69.15610899,160.9923947,8.264483627,0,0.135503778,90.11112735,0.770018072
188,118_M40T5.01B,F3b,Plane Bed,FSTCD,4,326.1200853,232.8558366,14.09394081,10.14934471,180,3.272251309,3.903903904,1.503003003,1.141141176,23.7857132,3.722222328,80.9045538,165.8786067,0,0,0.335399215,117.0246915,0.86350827
189,118_M40T5.01C,C3b,Plane Bed,FSTCD,4,333.7397135,441.6336483,14.05720129,11.73422737,207.2332744,3.795721187,2.597402597,0.951048951,1.948051929,37.74509811,1.428571463,104.664642,193.9667753,4.528640442,9.057280883,0.048592133,135.5223749,1.055276178
190,118_M40T5.01D,F3b,Plane Bed,FSTCD,4,350.5028955,421.2130448,13.92762202,7.25388601,308.4314371,3.617945007,2.731092437,1.911764706,1.260504246,20.16949272,2.549999952,100.6732233,296.1688078,0,7.122286541,0.016863242,128.4236086,1.135401641
191,118_M40T5.02A,B4,Plane Bed,UST,3,365.7421518,377.9335568,13.65913577,8.533983542,156.3411578,3.225806452,1.428571429,0.286904762,1.571428537,17.5,2.666666508,62.60651186,155.3503572,5.291935484,2.645967742,0.125858871,113.1085282,1.150834333
192,118_M40T5.02B,F3b,Plane Bed,UST,3,377.9335568,265.4678452,13.15466514,7.345321548,309.252878,2.870264064,4.979253112,1.350871369,1.369294643,15.7516346,1.708333254,89.99999997,292.3807278,3.766934558,3.766934558,0.390631458,98.28393625,0.632782762
193,118_M40T5.03A,F3a,Plane Bed,UST,3,385.553185,565.6811948,10.85877209,8.268820482,247.1401007,5.118534483,3.685956506,2.043073035,1.437523127,21.53174591,3.684210539,67.74185158,240.2118975,0,5.303340517,0.012877155,155.3201858,1.043786154
194,118_M40T5.03B,B3a,Step Pool,TR,1,414.507772,2323.377019,10.57970252,5.912831454,320.0432132,4.984914076,1.804123711,0.096421653,1.59793818,15.2755909,1.227272749,85.59898345,310.0851909,1.291223928,2.582447855,0.129301456,148.8046045,29.619889
196,118_M40T5.04B,C4b,Riffle Pool,CEFD,5,530.9356903,739.713502,3.720362646,4.480341359,24.4899401,2.01895344,5.442176871,2.263945578,3.741496563,12.14875984,1.176470518,13.77301637,24.28577247,62.18623815,4.055624227,0,31.19862418,0.929412387
197,118_M40T5.04C,C4b,Step Pool,UST,3,545.8701615,700.0914355,1.484836605,3.803718379,122.0130814,3.874619068,2.403846154,0.105576923,2.403846264,13.56521702,1.642857194,34.25803788,121.1356072,28.567697,9.998693949,0.016565085,33.56811747,1.135641389
198,118_M40T5.04D,C4a,Riffle Pool,CEFD,5,572.9960378,259.3721426,0.929544821,3.346540689,80.77851255,4.582843713,22.76867031,10.3493956,18.21493721,11.68085098,1.153846145,10.38118045,78.31622373,53.97649824,3.85546416,0,29.55873023,0.540396808
199,118_M41T6.02S1.01A,F4a,Plane Bed,CST,2,384.0292594,1695.824444,7.581257374,7.13197196,149.4783941,4.313443566,1.709401709,0.574980575,1.025641084,15,2.181818247,48.60423876,135.286275,11.79367362,4.127785766,0,104.3762087,1.003439916
200,118_M41T6.02S1.01B,B3a,Step Pool,CST,2,457.1776897,1028.345017,5.380972807,5.63852484,220.1316467,5.334914049,2.972972973,1.506306306,2.054054022,15.67796707,1.77777791,100.3019601,204.1316468,11.66923533,8.751926497,0,104.0183941,1.93552547
201,118_M41T6.02S1.02A,F3b,Cascade,CST,2,512.0390125,153.9164889,3.026938,4.632733923,198.656781,3.96039604,1.973684211,0.17995356,1.052631617,26.66666603,2,66.21955034,194.6350976,12.99405941,0,0,53.74168192,1.818741687
202,118_M41T6.02S1.02B,C4b,Riffle Pool,FSTCD,4,518.134715,414.507772,2.96545422,4.724169461,129.7575005,2.205882353,10.96774194,2.630153941,2.580645084,25.83333206,1.600000024,43.12257605,108.0666843,33.775,12.0625,0.020069853,29.54882616,0.674448168
203,118_M26T2.01-,C3,Plane Bed,UST,3,228.5888449,346.8454739,38.89319871,10.02743066,250.6466576,1.318101883,5.47112462,1.179425375,4.255319118,12.18518543,1.611111164,78.08179456,249.3809011,8.649384886,2.883128295,0.278673111,89.35314024,0.581861537
205,118_M26T2.05-,C3,Riffle Pool,CEFD,5,318.5004572,1645.839683,33.94252255,11.96281621,333.1164697,1.018518567,8.025477707,0.699432542,3.566879034,18.42722893,1.151515126,98.28435099,331.9677713,9.113888889,3.645555556,0.063250926,63.36918736,2.050301431
206,118_M26T2.06A,E4,Riffle Pool,CEFD,5,335.2636391,1970.740628,29.61881774,8.765620238,89.67330486,0.541292917,11.47426982,2.432545202,10.43115425,10.34532356,1.075000048,47.47775453,88.98870479,14.20785648,2.537117229,0.20432725,30.90725412,1.244819368
207,118_M26T2.06B,C4,Riffle Pool,CEFD,5,345.9311186,625.1142944,24.69821716,9.692167022,275.4071189,0.48756704,4.716981132,0.194609566,8.647798538,14.07079601,1.085714221,10.61758432,274.7505851,4.799122379,0,0.013951731,24.82870602,1.340782388
209,118_M26T2.07-,C4,Riffle Pool,FSTCD,4,350.5028955,1501.371533,18.03992932,8.869247181,20.50272958,0.507511139,17.5257732,1.713631157,24.05498314,18.1875,1.666666627,9.459776608,19.81304912,15.98538368,1.332115307,0.054186967,21.20381277,0.798439495
210,118_M26T2.08A,C4,Riffle Pool,UST,3,358.1225236,424.5656812,14.87145337,6.705272783,151.2727186,0.71787509,10.22727273,1.135435993,3.409090996,14.01273823,1.954545498,55.98250648,150.4081814,18.84278536,7.066044508,0.130139986,26.55656805,0.653670413
211,118_M26T2.08B,C4,Riffle Pool,CEFD,5,361.1703749,683.0234685,14.50597455,8.29015544,197.2622783,1.115573405,9.007352941,0.388888889,2.022058725,20.92307854,1.083333254,19.43740564,196.5558247,20.49709951,0,0.005957162,40.6268473,0.860466294
212,118_M26T2.09-,C3,Riffle Pool,FSTCD,4,368.790003,868.9423956,12.79690281,8.29015544,142.9837707,1.403016448,23.16176471,3.315441176,11.02941132,16.5853672,1.5,71.12280133,112.5051416,20.7148369,3.452472817,0.023104174,47.21492006,0.743910485
213,118_M26T2.10A,F4b,Riffle Pool,UST,3,380.9814081,309.3569034,6.27193443,6.107893935,195.188857,2.955665025,6.986027944,3.779620247,1.447105765,17.27586365,2.299999952,46.34040253,193.9662167,25.86009852,9.697536946,0.149,63.46855035,0.774064623
214,118_M26T2.10B,B3,Step Pool,TR,1,390.1249619,276.7448948,6.178554788,6.430966169,266.1962179,3.854625551,1.848341232,0.353033175,1.943127871,15.07142925,1.299999952,65.10031659,251.9508221,7.226872247,3.613436123,0.012070485,81.99386523,2.395567036
215,118_M26T2.10C,C4,Plane Bed,UST,3,400.7924413,368.4852179,5.912782965,5.821395916,158.3977668,1.654259719,5.235602094,0.262173365,5.235601902,14.69230843,1.666666746,49.53713802,157.845722,13.56906534,2.713813069,0.094445823,34.22733073,0.769955041
